"gene","GSM972736"
"SRSF12",2.77190242210597
"FAM71A",4.86225651251651
"FAM71A",4.9516359272608
"GAPT",3.70191049880099
"SCUBE1",5.79033045460869
"ERICH5",2.82097893473292
"ERICH5",2.94239094359967
"CCDC185",3.88770698296006
"ENTHD1",3.08981779167233
"ENTHD1",2.72996547381315
"TSSK3",7.70851441611883
"WFDC6",4.37432577570506
"CLEC12A",3.65280155413172
"BRF1",4.48151471099777
"TMEM266",3.89858020509229
"BACH1",3.80398673275288
"CALML6",3.43560457909576
"NLRP5",4.54729463267343
"ODF4",3.53912741448952
"ODF4",6.52243717033554
"CLEC4F",5.82209540397919
"DEFB106A",8.76698111594024
"DEFB106A",3.83071102898535
"WFDC9",4.13203715099163
"WFDC9",4.89597252489781
"NEDD1",5.56639169655535
"TTLL10",5.28530655762078
"TTLL10",6.66556437953784
"CALR3",3.39875228844617
"C10orf25",4.34107942349546
"ETV3",6.35406448745222
"KLHL10",3.46458952877591
"KLHL10",4.18128434172854
"TM2D3",9.88806525654751
"ZNF485",3.39329844174137
"WDR17",2.87489209860769
"MFSD6L",5.55180759704986
"CDH23",3.78231755188697
"ANKAR",3.08181581386485
"MEGF11",2.83143577836348
"GPR182",3.51502906464082
"ESX1",3.87080702671468
"FAM167A-AS1",4.10832720316251
"SCGB1C1",3.90533803041315
"DNAJC5G",5.26877101107699
"WDR88",3.72923205501193
"WDR88",4.00053850151541
"PRUNE2",3.67061967028919
"MBD3L2",4.64455774192136
"ADAMTSL1",3.77085085679233
"MBD3L1",3.42181676420085
"MBD3L1",4.04896826671554
"TENT5D",3.51213631916704
"SERPINB11",3.86654539619466
"LINC00161",2.90459286179249
"DSCR10",6.48269567804891
"DSCR10",5.31043660957661
"ABHD11",2.99920057557673
"ACAP2",6.23134767829069
"GAMT",6.87393325492291
"GAMT",6.99425177674462
"PLCD3",4.89387943687093
"IRF6",3.34516090307313
"IRF6",3.69072661379434
"PTPRC",2.80375650926059
"MAN1A2",3.75765155056437
"RAPH1",3.618939966349
"SMCR8",5.8334791546924
"LACTB",4.44918764138712
"LACTB",3.44518638237556
"BNC1",2.77873635828643
"MPP4",2.82008856922397
"AFG1L",3.47874802023108
"IDI2",5.07099582083727
"CYP11B1",3.80558244697389
"TAF8",4.58549208651338
"COBL",3.51704351234084
"SLAMF6",7.19211086430539
"ZSCAN20",3.99872604778884
"ZSCAN20",4.17106803170595
"GPBAR1",5.56695954688594
"RHBDL2",3.8712129566551
"FRAS1",5.20607588454269
"BRSK1",5.68537793647351
"CRB2",3.97116927764519
"KCNE4",4.83877417164581
"KCNE4",4.31847341285895
"CD300LG",3.55906308971921
"SLC34A3",8.01205604973546
"CPA6",2.82605107947189
"WBP2NL",3.37043092502429
"HIPK1",4.58801208994607
"HIPK1",4.46549252620854
"MTBP",3.9535221348532
"ACVR1C",6.97312752225269
"TMEM74",4.64494701347725
"TMEM74",2.6294994231367
"TIGD4",2.74483198217921
"TIGD4",4.59555421228291
"ART5",5.92389984314502
"FAM71C",4.69017825143503
"LINC01547",6.39746834930977
"NLRP11",4.60102896588123
"ATP6V1C2",3.25047086821519
"CLDN19",6.22380375822898
"VTI1A",5.31014302086995
"KIF6",3.74648654272011
"IQCD",4.5159451487317
"TAGAP",6.774602155383
"TAGAP",6.24181032302362
"STON2",4.70167337173809
"SERPINA12",4.34808679867111
"LETM2",3.60706368344365
"BSND",3.61503466460958
"BSND",4.9573604383517
"CLEC4C",3.41421568722838
"NLRC4",3.96727267291218
"NLRC4",3.41416895905722
"PRSS36",5.44106755126757
"ZDHHC15",3.75484551386342
"RAI1",6.11415485992287
