"Gene","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell"
"CNTLN",4.128977333,4.038845,5.11049304,5.019055071,4.940639792,4.121735304,3.643841313,3.943917385
"CNTN2",3.816193619,3.590583333,4.0946882,4.299115643,4.044384958,4.183873435,5.033227688,4.166226923
"CNTNAP4",6.59012981,5.323753333,5.0512404,5.525737071,5.059135583,5.113467565,5.028534438,5.034201
"CNTROB",6.141017143,5.372861417,6.32637404,6.217792071,5.492073458,6.755279783,5.832074688,6.199017385
"COASY",7.495649333,8.18111725,9.24727888,8.769444929,9.053055875,9.551129783,7.405908375,8.875760154
"COBLL1",3.86250281,3.99750675,4.30784112,4.325076143,4.44635225,4.150570043,5.037238688,4.205563692
"COG1",4.423190667,3.941974833,4.01754372,4.346733857,3.985457042,3.936145348,6.744515688,4.097796615
"COG3",5.066535714,6.212050667,5.26239816,5.128590786,4.785526292,5.50308987,6.630727875,6.333595154
"COG4",7.552805143,7.2635665,8.11965492,7.630408786,7.992711417,8.003251217,5.842347563,8.238395231
"COG5",6.559651714,5.801523583,6.74027232,5.867879929,6.310662292,6.062871391,8.179987875,6.090414769
"COG8",7.909652429,7.637994667,7.54001716,7.048320571,6.979147875,8.060539261,7.298235563,8.494898
"COIL",7.311485667,7.7540205,6.47872356,5.804546143,6.519405333,5.28126013,9.479721438,6.142917692
"COL11A2",6.396296476,5.8955925,6.20855464,6.608490429,5.818474208,6.454670217,5.635037063,6.436397
"COL12A1",3.154826048,3.23034225,3.27008496,3.307634429,3.259016,3.358159043,4.194771438,3.348925615
"COL13A1",3.409025286,6.098547833,3.1725524,3.417569571,3.561907333,3.499272957,3.4110585,3.393452846
"COL17A1",4.869763333,4.743470917,5.18555368,5.4192995,5.099497083,5.213466217,6.442248875,5.154550077
"COL18A1",6.147892143,5.261949667,5.13304984,5.210826857,4.907104875,5.47292087,6.602506313,6.285973615
"COL1A1",3.761677952,3.576428667,3.84171832,4.363936286,3.583801875,3.86757413,5.342833438,3.829757
"COL1A2",4.558170571,4.315559583,3.99987568,4.304693071,4.096495583,4.199770826,3.4661065,4.264001231
"COL27A1",5.523401286,4.774304333,4.80188048,5.218601143,4.585662875,4.826069739,4.500501,4.883407077
"COL2A1",3.570809857,3.623664333,3.65455968,3.894925929,3.9743535,3.803342043,5.113595938,3.772495308
"COL3A1",4.000786048,3.419913917,3.43666132,3.655494286,3.169223708,3.782400522,3.657674688,3.554350769
"COL4A2",3.663873429,3.5414435,3.98098084,4.752242786,5.99025475,3.758041261,3.816718688,3.837527
"COL4A3",3.974377905,3.611990167,3.47306348,3.644952143,3.50558025,3.800225217,4.611760188,3.702855154
"COL4A3BP",8.337491143,8.548373,10.35852716,8.787375786,9.294469292,8.106896739,8.621484063,8.105509385
"COL4A5",3.867240619,3.668882917,3.70559604,3.8728155,3.726545917,3.834993261,5.136488625,3.854543385
"COL4A6",4.443527286,3.84593175,3.19610596,3.642507429,3.710505625,3.472498652,3.208856813,3.525098077
"COL5A3",6.03156019,5.69915425,5.58069008,5.8528605,6.555200167,5.654884957,4.845303375,5.571973769
"COL6A1",6.105936476,5.271454917,7.61150556,7.554861071,8.975749042,5.593596565,5.001571938,6.788716077
"COL6A3",5.500221524,4.58823625,4.39654416,5.003252143,4.474397125,7.180326783,3.977909125,7.199050538
"COL7A1",5.423851714,5.322422667,5.4053054,5.828265714,6.516688042,5.618683652,4.340430938,5.355290231
"COL8A2",4.41961819,3.755751,8.08274288,8.628091143,7.62352575,4.114050652,3.930252875,4.118747077
"COL9A3",3.71895619,3.932661083,4.2515648,4.591673286,4.410926417,4.14552587,5.765570875,4.280948923
"COLEC12",3.876874381,4.0068455,6.55477396,5.378263286,8.555375458,4.050994609,3.61392175,3.785934769
"COLQ",5.120243238,7.525618667,5.23611588,7.274421571,4.981504,5.428851348,5.35479875,5.695543154
"COMMD10",6.687054286,8.068420417,8.58326952,7.625199357,8.29374525,7.426484043,5.23508775,7.320748538
"COMMD2",7.511692048,8.7503375,8.40674328,6.764344143,8.475938,8.211799522,6.20678325,8.554811769
"COMMD4",6.084988524,7.819824667,8.80269776,8.482208286,7.991056917,8.485940565,5.694596,6.793695615
"COMMD5",5.973513571,5.833803167,5.94745676,6.217880929,5.850358417,5.66807787,6.842376688,6.016501692
"COMMD6",11.77300424,11.69270892,10.832261,9.605766786,10.25220042,9.107862696,10.08720381,10.99055431
"COMMD8",9.355429,10.39319283,9.65706572,9.654257643,10.09290533,9.55154,6.362185125,9.463518462
"COMMD9",7.050264,7.888490667,9.80860716,9.070459357,9.310668,8.104540391,7.28182525,7.999420846
"COMP",3.899988476,3.89651525,4.29657064,4.511490214,4.085129458,4.262807,5.058717375,4.281416077
"COMT",6.149083095,5.481919,5.225079,5.678559357,5.329838792,5.153151652,6.144537313,5.383366385
"COPA",4.433012048,6.113880917,6.29604716,7.244118714,6.355324375,5.514835957,7.797691813,5.058581385
"COPB1",10.31680348,10.65500817,11.27645384,10.569775,11.30434042,10.20642543,9.527283438,9.590227
"COPB2",8.409723857,9.22571025,10.64039496,10.27887221,10.59608463,8.860163043,8.996510688,7.372898692
"COPE",8.599817095,8.85025525,10.05840736,9.956251929,8.570103958,9.099551348,8.343957438,7.780365538
"COPG2",4.899679095,5.724786833,5.324944,5.148142357,6.814678083,5.902370696,4.396618375,5.56087
"COPS2",9.821723476,10.68355458,10.60640304,9.931973286,10.95953308,10.39048691,11.55878788,10.34752408
"COPS3",8.148636619,8.873966167,8.62643504,8.025388429,8.392642542,9.154334478,9.776614625,7.952549462
"COPS4",8.79657,9.692705833,8.97225624,8.655756929,9.040545625,9.448359348,7.514989875,9.055556615
"COPS7A",7.004514429,7.47281125,8.62760948,8.356783214,8.093676792,7.792970783,6.42462875,7.038694692
"COPS7B",6.913323952,6.527897167,6.52923724,6.474579643,6.513300333,7.135279609,8.708931438,6.812006462
"COPS8",3.803789429,4.097912333,3.94999736,3.599264071,3.930105833,4.336365957,5.673544563,3.961099538
"COPZ1",7.739717857,8.957260167,9.8988314,9.781576214,9.5155345,8.809889652,9.32846375,7.067427462
"COPZ2",7.00083819,7.293413167,6.36700016,6.9650425,6.224130125,6.346063261,5.426365063,6.210225923
